placeID,rest_latitude,rest_longitude,rest_city,rest_state,num_tipos_cocina,nivel_estacionamiento,rating_promedio_historico,price,alcohol,smoking_area,dress_code,accessibility
135085,22.150802,-100.98268,San Luis Potosi,San Luis Potosi,1.0,1,1.3333333333333333,medium,No_Alcohol_Served,not permitted,informal,no_accessibility
135038,22.155651,-100.977767,San Luis Potosi,San Luis Potosi,1.0,0,1.2083333333333333,medium,No_Alcohol_Served,section,informal,no_accessibility
132825,22.1473922,-100.983092,San Luis Potosi,San Luis Potosi,1.0,0,1.28125,low,No_Alcohol_Served,none,informal,completely
135060,22.156883,-100.978485,San Luis Potosi,San Luis Potosi,1.0,0,1.1363636363636365,medium,No_Alcohol_Served,none,informal,no_accessibility
135104,22.17655535,-100.8445762,?,?,1.0,1,0.8571428571428571,medium,Full_Bar,not permitted,informal,completely
132740,22.17655535,-100.8445762,Ciudad Victoria,Tamaulipas,1.0,0,0.75,low,No_Alcohol_Served,permitted,informal,completely
132663,22.17655535,-100.8445762,Ciudad Victoria,Tamaulipas,1.0,0,0.5,low,No_Alcohol_Served,none,informal,completely
132732,22.17655535,-100.8445762,Ciudad Victoria,Tamaulipas,1.0,0,0.625,low,No_Alcohol_Served,none,casual,completely
132630,22.17655535,-100.8445762,Ciudad Victoria,Tamaulipas,1.0,0,1.1666666666666667,low,No_Alcohol_Served,none,informal,completely
132584,22.17655535,-100.8445762,?,?,1.0,1,1.3333333333333333,medium,No_Alcohol_Served,not permitted,informal,completely
132733,22.17655535,-100.8445762,Ciudad Victoria,Tamaulipas,1.0,1,1.3,medium,No_Alcohol_Served,not permitted,informal,completely
132560,22.17655535,-100.8445762,Ciudad Victoria,Tamaulipas,1.0,1,0.5,low,No_Alcohol_Served,permitted,informal,no_accessibility
132613,22.17655535,-100.8445762,Ciudad Victoria,Tamaulipas,1.0,1,1.1666666666666667,medium,No_Alcohol_Served,permitted,informal,completely
132667,22.17655535,-100.8445762,Ciudad Victoria,Tamaulipas,1.0,0,1.25,low,No_Alcohol_Served,none,informal,completely
132660,22.17655535,-100.8445762,Ciudad Victoria,Tamaulipas,1.0,0,1.4,low,No_Alcohol_Served,none,informal,completely
135088,22.122991749999997,-100.8445762,Cuernavaca,Morelos,1.0,1,1.0,low,No_Alcohol_Served,not permitted,informal,no_accessibility
132583,22.122991749999997,-100.8445762,Cuernavaca,Morelos,1.0,0,1.0,low,No_Alcohol_Served,not permitted,informal,partially
132608,22.17655535,-100.8445762,Ciudad Victoria,Tamaulipas,1.0,1,1.0,low,No_Alcohol_Served,permitted,informal,completely
132609,22.17655535,-100.8445762,Ciudad Victoria,Tamaulipas,1.0,1,0.6,low,No_Alcohol_Served,not permitted,informal,completely
132665,22.17655535,-100.8445762,Ciudad Victoria,Tamaulipas,1.0,0,0.8,low,No_Alcohol_Served,none,informal,completely
132668,22.17655535,-100.8445762,Ciudad Victoria,Tamaulipas,1.0,0,1.0,low,No_Alcohol_Served,none,informal,completely
132715,22.17655535,-100.8445762,?,?,1.0,0,1.0,low,No_Alcohol_Served,none,informal,no_accessibility
132717,22.17655535,-100.8445762,?,?,1.0,1,1.3333333333333333,medium,No_Alcohol_Served,not permitted,informal,partially
132594,22.17655535,-100.8445762,?,?,1.0,1,0.6,low,No_Alcohol_Served,not permitted,informal,completely
132564,22.17655535,-100.8445762,?,?,1.0,0,1.25,low,No_Alcohol_Served,none,informal,completely
135071,22.126375,-100.910926,San Luis Potosi,San Luis Potosi,2.0,1,1.0,medium,Full_Bar,section,informal,no_accessibility
132626,22.17655535,-100.8445762,Ciudad Victoria,Tamaulipas,1.0,1,1.25,medium,No_Alcohol_Served,none,informal,completely
134987,22.122991749999997,-100.8445762,Cuernavaca,Morelos,1.0,0,1.0,medium,Wine-Beer,none,informal,no_accessibility
135034,22.140517000000003,-101.021422,San Luis Potosi,San Luis Potosi,1.0,0,1.9090909090909087,medium,No_Alcohol_Served,none,informal,no_accessibility
132723,22.1489337,-101.019845,?,San Luis Potosi,1.0,1,1.4166666666666667,medium,Full_Bar,section,informal,completely
135046,22.141282,-101.002958,San Luis Potosi,San Luis Potosi,1.0,1,1.2727272727272727,medium,No_Alcohol_Served,none,informal,no_accessibility
135075,22.139573,-100.991564,San Luis Potosi,San Luis Potosi,1.0,1,1.6923076923076923,medium,No_Alcohol_Served,none,informal,no_accessibility
132572,22.141647100000004,-100.9927118,San Luis Potosi,San Luis Potosi,1.0,1,1.0,low,No_Alcohol_Served,not permitted,informal,completely
135074,22.149689,-100.999525,San Luis Potosi,San Luis Potosi,1.0,1,1.75,high,Wine-Beer,section,informal,no_accessibility
135028,22.146658,-100.987219,San Luis Potosi,San Luis Potosi,1.0,0,1.5333333333333334,medium,Wine-Beer,none,informal,no_accessibility
135032,22.152481,-100.973486,San Luis Potosi,San Luis Potosi,2.0,1,1.1785714285714286,medium,Wine-Beer,section,informal,no_accessibility
135086,22.141421,-101.013955,San Luis Potosi,San Luis Potosi,2.0,1,0.8,medium,No_Alcohol_Served,not permitted,informal,no_accessibility
135058,22.165587,-101.001273,San Luis Potosi,San Luis Potosi,1.0,1,1.1111111111111112,medium,No_Alcohol_Served,none,informal,no_accessibility
135001,22.122991749999997,-100.8445762,Cuernavaca,Morelos,1.0,1,1.4285714285714286,medium,Wine-Beer,none,informal,completely
134983,22.122991749999997,-100.8445762,Cuernavaca,Morelos,2.0,1,1.0,high,Full_Bar,section,informal,no_accessibility
134996,22.122991749999997,-100.8445762,Cuernavaca,Morelos,1.0,1,1.5555555555555556,medium,Wine-Beer,only at bar,informal,no_accessibility
135019,22.122991749999997,-100.8445762,Jiutepec,Morelos,1.0,0,1.3333333333333333,low,No_Alcohol_Served,none,informal,completely
134976,22.122991749999997,-100.8445762,?,?,3.0,1,1.75,low,No_Alcohol_Served,none,informal,no_accessibility
134999,22.122991749999997,-100.8445762,Cuernavaca,Morelos,1.0,0,1.6,medium,No_Alcohol_Served,none,informal,no_accessibility
135018,22.122991749999997,-100.8445762,Cuernavaca,Morelos,1.0,1,1.5,medium,Full_Bar,permitted,informal,completely
135013,22.122991749999997,-100.8445762,Jiutepec,Morelos,1.0,0,1.75,low,No_Alcohol_Served,none,informal,no_accessibility
134986,22.122991749999997,-100.8445762,Cuernavaca,Morelos,1.0,1,1.9090909090909087,high,Wine-Beer,none,formal,no_accessibility
132767,22.122991749999997,-100.8445762,Jiutepec,Morelos,1.0,1,1.1666666666666667,medium,Wine-Beer,permitted,casual,partially
135016,22.122991749999997,-100.8445762,Cuernavaca,Morelos,1.0,0,1.0,medium,No_Alcohol_Served,none,informal,no_accessibility
135011,22.122991749999997,-100.8445762,Jiutepec,Morelos,1.0,0,1.3333333333333333,medium,No_Alcohol_Served,none,informal,no_accessibility
135109,22.122991749999997,-100.8445762,?,?,1.0,0,1.0,medium,Wine-Beer,not permitted,informal,no_accessibility
134975,22.122991749999997,-100.8445762,?,?,1.0,2,1.6666666666666667,high,Full_Bar,section,informal,completely
135021,22.122991749999997,-100.8445762,Cuernavaca,Morelos,1.0,1,1.3333333333333333,low,No_Alcohol_Served,not permitted,informal,no_accessibility
132768,22.122991749999997,-100.8445762,Cuernavaca,Morelos,1.0,0,1.6,medium,No_Alcohol_Served,not permitted,casual,partially
135000,22.122991749999997,-100.8445762,Cuernavaca,Morelos,1.0,0,1.25,medium,No_Alcohol_Served,none,informal,no_accessibility
132766,22.122991749999997,-100.8445762,Cuernavaca,Morelos,1.0,1,0.6666666666666666,medium,Wine-Beer,none,informal,no_accessibility
134992,22.122991749999997,-100.8445762,Cuernavaca,Morelos,1.0,1,1.0,high,Wine-Beer,section,casual,no_accessibility
132773,22.122991749999997,-100.8445762,Cuernavaca,Morelos,2.0,0,1.5,low,Wine-Beer,permitted,informal,no_accessibility
132561,22.17655535,-100.8445762,?,?,1.0,0,0.75,low,No_Alcohol_Served,none,informal,completely
132706,22.17655535,-100.8445762,Ciudad Victoria,Tamaulipas,1.0,1,0.75,medium,No_Alcohol_Served,not permitted,informal,no_accessibility
132654,22.17655535,-100.8445762,Ciudad Victoria,Tamaulipas,1.0,0,0.4545454545454547,low,No_Alcohol_Served,none,informal,completely
135051,22.151189,-100.977058,San Luis Potosi,San Luis Potosi,1.0,0,1.4285714285714286,low,No_Alcohol_Served,section,informal,no_accessibility
135025,22.14955,-100.97797,San Luis Potosi,San Luis Potosi,1.0,0,1.6666666666666667,medium,No_Alcohol_Served,none,informal,no_accessibility
135049,22.135011,-101.0286,San Luis Potosi,San Luis Potosi,1.0,0,1.0,medium,No_Alcohol_Served,none,informal,no_accessibility
135106,22.149708800000003,-100.9760928,San Luis Potosi,San Luis Potosi,1.0,0,1.2,medium,Wine-Beer,only at bar,informal,partially
135072,22.149192000000003,-101.002936,San Luis Potosi,San Luis Potosi,1.0,0,1.25,medium,No_Alcohol_Served,none,informal,no_accessibility
132755,22.153324,-101.0195459,San Luis Potosi,San Luis Potosi,1.0,1,1.8,medium,No_Alcohol_Served,none,informal,partially
135044,22.141848,-100.997475,San Luis Potosi,San Luis Potosi,1.0,0,1.25,medium,No_Alcohol_Served,none,informal,no_accessibility
