userID,placeID,rating,num_tipos_cocina,nivel_estacionamiento,rating_promedio_historico,activity,ambience,budget,color,dress_preference,drink_level,height,hijos,interest,user_latitude,user_longitude,marital_status,personality,religion,smoker,transport,weight,Rambience,accessibility,address,alcohol,area,rest_city,country,dress_code,franchise,rest_latitude,rest_longitude,rest_name,other_services,price,smoking_area,rest_state,url,zip,user_age,target_exitoso
U1077,135085,2,1.0,1,1.3333333333333333,student,family,medium,blue,elegant,social drinker,1.71,kids,technology,22.156469,-100.98554,married,thrifty-protector,Catholic,false,public,65,familiar,no_accessibility,Venustiano Carranza 719 Centro,No_Alcohol_Served,closed,San Luis Potosi,Mexico,informal,f,22.150802,-100.98268,Tortas Locas Hipocampo,none,medium,not permitted,San Luis Potosi,?,78000,38.0,1
U1077,135038,2,1.0,0,1.2083333333333333,student,family,medium,blue,elegant,social drinker,1.71,kids,technology,22.156469,-100.98554,married,thrifty-protector,Catholic,false,public,65,familiar,no_accessibility,Guajardo Sn San Luis Potosi Centro,No_Alcohol_Served,closed,San Luis Potosi,Mexico,informal,f,22.155651,-100.977767,Restaurant la Chalita,none,medium,section,San Luis Potosi,?,78000,38.0,1
U1077,132825,2,1.0,0,1.28125,student,family,medium,blue,elegant,social drinker,1.71,kids,technology,22.156469,-100.98554,married,thrifty-protector,Catholic,false,public,65,familiar,completely,esquina santos degollado y leon guzman,No_Alcohol_Served,open,San Luis Potosi,mexico,informal,f,22.1473922,-100.983092,puesto de tacos,none,low,none,San Luis Potosi,?,78280,38.0,1
U1077,135060,1,1.0,0,1.1363636363636365,student,family,medium,blue,elegant,social drinker,1.71,kids,technology,22.156469,-100.98554,married,thrifty-protector,Catholic,false,public,65,familiar,no_accessibility,Ignacio Allende 785 Centro,No_Alcohol_Served,closed,San Luis Potosi,Mexico,informal,f,22.156883,-100.978485,Restaurante Marisco Sam,none,medium,none,San Luis Potosi,?,78310,38.0,0
U1068,135104,1,1.0,1,0.8571428571428571,student,friends,low,blue,informal,casual drinker,1.57,independent,technology,22.2371245,-99.168605,single,thrifty-protector,Catholic,false,public,72,familiar,completely,?,Full_Bar,closed,?,?,informal,t,22.17655535,-100.8445762,vips,variety,medium,not permitted,?,?,?,37.0,0
U1068,132740,0,1.0,0,0.75,student,friends,low,blue,informal,casual drinker,1.57,independent,technology,22.2371245,-99.168605,single,thrifty-protector,Catholic,false,public,72,familiar,completely,?,No_Alcohol_Served,open,Ciudad Victoria,Mexico,informal,f,22.17655535,-100.8445762,Carreton de Flautas y Migadas,none,low,permitted,Tamaulipas,?,?,37.0,0
U1068,132663,1,1.0,0,0.5,student,friends,low,blue,informal,casual drinker,1.57,independent,technology,22.2371245,-99.168605,single,thrifty-protector,Catholic,false,public,72,familiar,completely,?,No_Alcohol_Served,closed,Ciudad Victoria,mexico,informal,f,22.17655535,-100.8445762,tacos abi,none,low,none,Tamaulipas,?,?,37.0,0
U1068,132732,0,1.0,0,0.625,student,friends,low,blue,informal,casual drinker,1.57,independent,technology,22.2371245,-99.168605,single,thrifty-protector,Catholic,false,public,72,familiar,completely,Calle Mezquite Fracc Framboyanes,No_Alcohol_Served,open,Ciudad Victoria,Mexico,casual,f,22.17655535,-100.8445762,Taqueria EL amigo ,none,low,none,Tamaulipas,?,87018,37.0,0
U1068,132630,1,1.0,0,1.1666666666666667,student,friends,low,blue,informal,casual drinker,1.57,independent,technology,22.2371245,-99.168605,single,thrifty-protector,Catholic,false,public,72,familiar,completely,blvrd emilio portes gil,No_Alcohol_Served,closed,Ciudad Victoria,?,informal,f,22.17655535,-100.8445762,palomo tec,none,low,none,Tamaulipas,?,?,37.0,0
U1067,132584,2,1.0,1,1.3333333333333333,student,family,medium,green,no preference,abstemious,1.73,independent,technology,22.2371245,-99.168605,single,thrifty-protector,Christian,false,public,92,familiar,completely,?,No_Alcohol_Served,closed,?,?,informal,t,22.17655535,-100.8445762,Gorditas Dona Tota,none,medium,not permitted,?,?,?,38.0,1
U1067,132733,1,1.0,1,1.3,student,family,medium,green,no preference,abstemious,1.73,independent,technology,22.2371245,-99.168605,single,thrifty-protector,Christian,false,public,92,familiar,completely,?,No_Alcohol_Served,closed,Ciudad Victoria,Mexico,informal,t,22.17655535,-100.8445762,Little Cesarz,none,medium,not permitted,Tamaulipas,?,?,38.0,0
U1067,132732,1,1.0,0,0.625,student,family,medium,green,no preference,abstemious,1.73,independent,technology,22.2371245,-99.168605,single,thrifty-protector,Christian,false,public,92,familiar,completely,Calle Mezquite Fracc Framboyanes,No_Alcohol_Served,open,Ciudad Victoria,Mexico,casual,f,22.17655535,-100.8445762,Taqueria EL amigo ,none,low,none,Tamaulipas,?,87018,38.0,0
